id,age,income,gender,education,spend_score,customer_since,is_active
1,56,81228,F,PhD,86.84015953943026,2017-12-27,False
2,69,134752,F,PhD,91.41081470309067,2016-12-27,False
3,46,68984,Non-binary,High School,51.62289748723284,2001-12-31,True
4,32,60774,F,Bachelor's,50.65011317403276,2021-12-26,True
5,60,22568,Non-binary,High School,80.03122271771073,2015-12-28,False
6,25,140151,M,PhD,65.34642914699874,2006-12-30,False
7,38,82592,Non-binary,Associate,70.49472084851263,2008-12-29,True
8,56,87563,F,Associate,79.783474274174,2000-12-31,True
9,36,22695,M,Master's,89.11052883993906,2017-12-27,True
10,40,144375,M,High School,34.461520528302046,2007-12-30,True
11,28,68190,M,High School,38.18271231135446,2005-12-30,True
12,28,25258,Non-binary,Master's,10.30421204424603,2002-12-31,False
13,41,107538,F,Master's,58.24973395862122,2019-12-27,False
14,53,59504,M,Master's,4.5582851058774665,2016-12-27,False
15,57,53159,M,PhD,47.09420379511356,2011-12-29,False
16,41,33986,M,High School,54.72181883605008,2009-12-29,True
17,20,81858,Non-binary,PhD,29.367583960700156,2002-12-31,True
18,39,149312,Non-binary,Master's,59.492492796332066,2019-12-27,True
19,19,32666,F,High School,4.019524743965894,2002-12-31,False
20,41,58660,Non-binary,PhD,4.6974706861722275,2008-12-29,False
21,61,23561,M,PhD,82.43745550530616,2003-12-31,True
22,47,46854,F,Master's,36.65887349971503,2007-12-30,True
23,55,84505,M,High School,13.578990752536594,2001-12-31,False
24,19,124488,M,Master's,52.702082745425635,2015-12-28,False
25,38,72251,Non-binary,High School,77.22936175676247,2001-12-31,True
26,50,42662,F,Associate,22.366281722187473,2014-12-28,True
27,29,28392,Non-binary,Bachelor's,62.66615710608102,2002-12-31,False
28,39,50535,Non-binary,Bachelor's,9.449399034383031,2016-12-27,True
29,61,98603,F,Bachelor's,6.116490395692162,2015-12-28,True
30,42,133569,M,Master's,53.60410852524665,2005-12-30,True
31,66,72256,M,Associate,54.52287703940055,2021-12-26,False
32,44,109135,F,High School,64.10556024832245,2003-12-31,False
33,59,147478,M,PhD,72.8830420385435,2010-12-29,False
34,45,55222,F,High School,97.60935586679092,2015-12-28,False
35,33,97373,F,PhD,52.113734481818334,2021-12-26,False
36,32,99575,Non-binary,High School,32.97269082118335,2011-12-29,False
37,64,143684,F,Associate,79.72343328210167,2021-12-26,False
38,68,116354,Non-binary,PhD,27.81239287494535,2001-12-31,True
39,61,104651,M,Master's,44.458170649857976,2007-12-30,True
40,69,83335,M,High School,8.76718175288433,2015-12-28,True
41,20,30965,M,High School,3.5097235981302934,2015-12-28,True
42,54,44538,M,PhD,96.30219305311458,2018-12-27,True
43,68,128066,Non-binary,Master's,83.76203193070837,2014-12-28,True
44,24,90592,M,Master's,69.9014464032761,2020-12-26,True
45,38,118018,F,Associate,41.48634149701272,2011-12-29,False
46,26,133252,F,Master's,18.156137687013732,2017-12-27,False
